company,manage,grow,work,vision,job,flex,mpos,gpos,wpos,vpos,jpos,fpos,mneg,gneg,wneg,vneg,jneg,fneg
Company_1,yes,yes,no,no,no,yes,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0
Company_1,yes,yes,yes,yes,yes,yes,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Company_1,no,no,yes,no,yes,yes,0.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0
Company_1,yes,no,no,no,yes,no,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0
Company_1,yes,yes,yes,no,no,yes,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0
Company_1,yes,no,yes,yes,yes,no,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
Company_1,yes,ys,no,no,yes,no,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0
Company_1,yes,yes,no,no,no,no,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0
Company_1,yes,yes,yes,yes,no,no,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
Company_1,no,yes,yes,no,no,yes,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0
Company_1,no,yes,no,yes,no,yes,0.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0
